id,type,neighborhood,lot_area_m2,internal_area_m2,rooms,suites,bedrooms,parking_spaces,price_brl
435,apartment,Jardim Alexandre Campos,0.0,211.3,3,3,3,2,700000.0
436,house,Estância dos Ipês,300.0,185.0,1,3,4,4,1600000.0
437,land,Cyrela Landscape II (Residencial Vitória),433.0,0.0,0,0,0,0,324000.0
438,land,Cyrela Landscape II (Residencial Vitória),591.0,0.0,0,0,0,0,443000.0
439,land,Cyrela Landscape II (Residencial Vitória),787.0,0.0,0,0,0,0,590000.0
440,land,Cyrela Landscape II (Residencial Vitória),459.0,0.0,0,0,0,0,344000.0
441,land,Cyrela Landscape II (Residencial Vitória),617.0,0.0,0,0,0,0,463000.0
442,land,Cyrela Landscape II (Residencial Vitória),642.0,0.0,0,0,0,0,481000.0
443,land,Cyrela Landscape II (Residencial Vitória),540.0,0.0,0,0,0,0,405000.0
444,house,Jardim São Bento,336.0,250.0,2,2,3,2,890000.0
445,apartment,Santa Maria,0.0,180.0,1,3,3,3,1200000.0
446,land,Cyrela Landscape,442.0,0.0,0,0,0,0,380000.0
447,apartment,Jardim do Lago,0.0,200.0,1,3,3,3,2200000.0
448,house,Cyrela Landscape,467.04,335.05,1,4,4,4,2600000.0
449,apartment,Nossa Senhora da Abadia,0.0,186.0,1,1,3,2,450000.0
450,land,Universitário,880.0,0.0,0,0,0,0,700000.0
451,land,Santa Maria,1280.0,0.0,0,0,0,0,1500000.0
452,apartment,São Benedito,0.0,55.0,1,0,3,1,230000.0
453,house,Santa Maria,891.9,529.47,2,1,3,5,900000.0
454,house,Conjunto Manoel Mendes,200.0,194.0,2,2,3,0,380000.0
455,house,Damha Residencial Uberaba II,447.0,310.0,3,4,4,2,3500000.0
456,apartment,Santa Maria,0.0,210.0,1,1,3,2,1200000.0
457,house,Damha Residencial Uberaba II,475.28,450.0,2,4,4,2,4000000.0
458,house,Jardim do Lago,360.0,300.0,2,3,3,4,2000000.0
459,house,Oneida Mendes,200.0,68.0,1,0,2,2,270000.0
460,apartment,Santos Dumont,0.0,111.0,1,1,3,1,350000.0
461,apartment,Mercês,0.0,175.0,3,1,3,2,600000.0
462,apartment,Irmãos Soares,0.0,140.0,2,3,3,1,430000.0
463,house,Leblon,300.0,133.6,1,1,3,2,450000.0
464,apartment,Mercês,0.0,200.0,2,3,3,3,2000000.0
465,house,Residencial Presidente Tancredo Neves,265.0,69.0,1,1,3,3,470000.0
466,land,Jockey Park,450.0,0.0,0,0,0,0,350000.0
467,house,Parque das Laranjeiras,255.0,166.15,1,3,3,6,850000.0
468,apartment,Nossa Senhora da Abadia,0.0,56.0,1,1,2,1,420000.0
469,house,Centro,313.1,303.01,1,1,3,1,950000.0
470,apartment,São Benedito,0.0,108.57,0,0,0,1,320000.0
471,house,Dom Eduardo,250.95,165.66,1,1,3,2,750000.0
472,apartment,Mercês,0.0,267.82,3,2,4,3,1100000.0
473,house,Vila Celeste,397.7,306.0,2,2,4,2,950000.0
474,apartment,Santa Maria,0.0,64.0,1,2,2,0,450000.0
475,land,Parque dos Buritis II,200.0,0.0,1,1,3,0,140000.0
476,land,Nossa Senhora da Abadia,874.0,0.0,0,0,0,0,900000.0
477,apartment,Santa Maria,0.0,81.0,1,1,3,2,500000.0
478,house,Conjunto Frei Eugênio,185.0,300.0,1,2,4,4,860000.0
479,house,Condomínio Terra Nova,143.0,125.0,2,1,3,1,495000.0
480,apartment,São Sebastião,0.0,308.0,1,3,3,3,800000.0
481,house,Damha Residencial Uberaba I,430.0,250.0,1,4,4,6,3200000.0
482,apartment,Santa Maria,0.0,56.0,1,1,2,1,570000.0
483,land,Brahman I,250.0,0.0,0,0,0,0,250000.0
484,apartment,Santa Maria,0.0,162.0,2,1,3,2,700000.0
485,house,Cyrela Landscape II (Residencial Vitória),405.0,300.0,2,3,3,4,2500000.0
486,land,Estância dos Ipês,300.0,0.0,0,0,0,0,350000.0
487,apartment,Mercês,0.0,376.0,3,4,4,4,2500000.0
488,land,Brahman I,250.0,0.0,0,0,0,0,250000.0
489,house,Dom Eduardo,250.0,190.0,1,3,3,4,920000.0
490,house,Nossa Senhora da Abadia,280.0,340.0,3,2,4,2,1200000.0
491,land,Brahman I,250.0,0.0,0,0,0,0,250000.0
492,apartment,Jardim do Lago,0.0,50.0,1,1,2,2,350000.0
493,land,Parque das Laranjeiras,548.91,0.0,0,0,0,0,440000.0
494,land,Estância dos Ipês,300.0,0.0,0,0,0,0,360000.0
495,land,Parque das Laranjeiras II,250.0,0.0,0,0,0,0,135000.0
496,land,Parque das Laranjeiras,475.0,0.0,0,0,0,0,335000.0
497,other,Estância dos Ipês,300.0,201.0,1,2,3,4,1400000.0
498,house,Jardim do Lago,360.0,315.0,3,4,4,4,1590000.0
499,other,Damha Residencial Uberaba II,399.3,323.53,2,4,4,4,2800000.0
500,land,Estância dos Ipês,300.0,0.0,0,0,0,0,360000.0
501,land,Estância dos Ipês,360.0,0.0,0,0,0,0,360000.0
502,land,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,240000.0
503,house,São Benedito,410.0,284.56,2,1,4,3,1050000.0
504,house,Jardim Induberaba,324.0,239.7,2,2,4,4,790000.0
505,apartment,Vila Maria Helena,0.0,100.0,2,1,3,2,490000.0
506,land,Estância dos Ipês,348.29,0.0,0,0,0,0,452780.0
507,other,Damha Residencial Uberaba III,387.5,314.98,1,4,4,0,3200000.0
508,land,Damha Residencial Uberaba III,415.25,0.0,0,0,0,0,420000.0
509,land,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,230000.0
510,land,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,260000.0
511,land,Residencial Mário de Almeida Franco,1880.0,0.0,0,0,0,0,700000.0
512,apartment,Santa Maria,0.0,103.48,1,1,3,2,620000.0
513,apartment,Nossa Senhora da Abadia,0.0,89.0,1,1,2,1,370000.0
514,house,Parque das Laranjeiras II,300.0,152.6,1,1,2,4,480000.0
515,apartment,Estados Unidos,0.0,76.0,1,2,2,2,530000.0
516,apartment,Santa Maria,0.0,72.0,1,1,2,1,390000.0
517,apartment,Estados Unidos,0.0,118.0,1,3,3,2,850000.0
518,land,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,260000.0
519,land,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,260000.0
520,apartment,Vila Celeste,0.0,148.0,1,1,3,1,390000.0
521,house,Santa Maria,480.0,340.0,2,2,4,5,1600000.0
522,land,Residencial Jardins,250.0,0.0,0,0,0,0,290000.0
523,land,Brahman I,250.0,0.0,0,0,0,0,230000.0
524,house,Estados Unidos,336.0,221.0,1,1,3,2,840000.0
525,apartment,Estados Unidos,0.0,70.0,1,1,2,2,430000.0
526,house,Residencial Mário de Almeida Franco,680.0,333.0,2,3,3,4,2600000.0
527,apartment,Nossa Senhora da Abadia,0.0,76.0,1,1,2,1,450000.0
528,land,Damha Residencial Uberaba III,400.4,0.0,0,0,0,0,480000.0
529,land,Residencial Jardins,504.77,0.0,0,0,0,0,550000.0
530,house,Damha Residencial Uberaba I,429.0,240.0,2,3,4,4,1950000.0
531,apartment,Nossa Senhora da Abadia,0.0,70.0,1,1,2,1,400000.0
532,house,Residencial Mário de Almeida Franco,1500.0,420.0,2,4,5,4,3000000.0
533,house,Parque dos Buritis II,200.0,127.0,1,1,3,2,799000.0
534,land,Parque das Laranjeiras,250.0,0.0,0,0,0,0,160000.0
535,land,Jockey Park,1189.02,0.0,0,0,0,0,535000.0
536,land,Conjunto Pontal,275.0,0.0,0,0,0,0,190000.0
537,land,Damha Residencial Uberaba III,394.84,0.0,0,0,0,0,450000.0
538,land,Jardim Alexandre Campos,274.0,157.25,0,0,0,0,330000.0
539,house,Residencial Mário de Almeida Franco,960.0,220.0,2,4,4,4,1250000.0
540,house,Conjunto Manoel Mendes,200.0,159.35,2,2,5,2,450000.0
541,land,Damha Residencial Uberaba I,481.17,0.0,0,0,0,0,750000.0
542,land,Parque das Laranjeiras,250.0,0.0,0,0,0,0,140000.0
543,house,Portal Beija Flor,200.0,150.0,1,1,3,2,730000.0
544,house,Residencial Palmeiras,270.0,190.0,2,1,2,2,435000.0
545,land,Parque das Laranjeiras II,250.0,0.0,0,0,0,0,160000.0
546,land,Parque das Laranjeiras II,250.0,0.0,0,0,0,0,160000.0
547,apartment,São Benedito,0.0,128.29,2,3,3,2,1300000.0
548,land,Parque do Mirante,200.0,0.0,0,0,0,0,450000.0
549,land,Residencial Mário de Almeida Franco,1880.0,0.0,0,0,0,0,750000.0
550,house,Olinda,360.0,298.0,3,2,4,4,880000.0
551,apartment,Fabrício,0.0,140.0,1,1,3,3,700000.0
552,land,Brahman I,250.0,0.0,0,0,0,0,230000.0
553,land,Brahman I,250.0,0.0,0,0,0,0,230000.0
554,land,Brahman I,250.0,0.0,0,0,0,0,230000.0
555,house,BeijaFlor II,248.0,158.0,2,1,3,2,380000.0
556,house,Parque das Laranjeiras,250.0,182.0,1,1,3,1,620000.0
557,apartment,São Benedito,0.0,148.0,2,3,3,3,730000.0
558,apartment,Santa Maria,0.0,108.0,1,1,3,2,550000.0
559,house,Parque das Laranjeiras II,250.0,130.0,1,1,3,2,530000.0
560,land,Loteamento Residencial Damha Fit,280.0,0.0,0,0,0,0,260000.0
561,apartment,Jardim do Lago,0.0,52.0,1,1,2,1,450000.0
562,house,Conjunto Frei Eugênio,325.0,195.0,1,2,3,3,750000.0
563,apartment,Quinta Boa Esperança,0.0,45.0,1,0,2,1,275000.0
564,land,Parque do Mirante,397.0,0.0,0,0,0,0,450000.0
565,land,Parque do Mirante,402.0,0.0,0,0,0,0,450000.0
566,land,Parque do Mirante,214.0,0.0,0,0,0,0,450000.0
567,land,Loteamento Residencial Damha Fit,280.0,0.0,0,0,0,0,285000.0
568,land,Olinda,360.0,0.0,0,0,0,0,270000.0
569,land,Estância dos Ipês,360.0,360.0,0,0,0,0,550000.0
570,land,Damha Residencial Uberaba III,387.5,0.0,0,0,0,0,400000.0
571,land,Damha Residencial Uberaba III,490.0,0.0,0,0,0,0,610000.0
572,house,Residencial Budeus,0.0,350.0,3,4,4,4,2100000.0
573,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,220000.0
574,land,Cyrela Landscape,470.0,0.0,0,0,0,0,430000.0
575,land,Loteamento Residencial Damha Fit,257.5,0.0,0,0,0,0,180000.0
576,house,Jardim São Bento,635.39,267.98,2,3,4,3,1200000.0
577,land,Residencial Jardins,250.0,0.0,0,0,0,0,310000.0
