id,tipo,bairro,area_lote,area_interna,salas,suites,quartos,vagas,preco
228,terreno,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,235000.0
229,apartamento,Olinda,0.0,59.0,1,0,2,1,330000.0
230,apartamento,São Benedito,0.0,158.0,1,1,3,2,700000.0
231,terreno,Cyrela Landscape II (Residencial Vitória),405.0,0.0,0,0,0,0,240000.0
232,casa,Jardim do Lago,360.0,344.0,2,3,4,4,1350000.0
233,lote,Residencial Jardins,250.0,0.0,0,0,0,0,305000.0
234,terreno,Brahman I,250.0,0.0,0,0,0,0,210000.0
235,terreno,Brahman I,250.0,0.0,0,0,0,0,210000.0
236,terreno,Brahman I,250.0,0.0,0,0,0,0,210000.0
237,terreno,Fabrício,420.0,0.0,0,0,0,0,700000.0
238,terreno,CONDOMÍNIO CHÁCARA DAS PALMEIRAS,1800.0,0.0,0,0,0,0,790000.0
239,casa,Vale do Sol,0.0,420.0,3,2,2,10,3000000.0
240,lote,Residencial Jardins,250.0,0.0,0,0,0,0,262500.0
241,lote,Residencial Jardins,259.1,0.0,0,0,0,0,271950.0
242,terreno,Jardim São Bento,336.0,0.0,0,0,0,0,225000.0
243,apartamento,Santa Maria,0.0,56.0,1,1,2,1,570000.0
244,casa,Estância dos Ipês,300.0,180.0,1,3,3,2,1600000.0
245,casa,Parque das Américas,360.0,178.42,1,1,3,2,550000.0
246,casa,Jardim do Lago,360.0,175.0,2,1,3,2,830000.0
247,apartamento,Olinda,0.0,93.0,1,1,3,1,350000.0
248,casa,Residencial Palmeiras,315.82,280.0,1,3,4,3,900000.0
249,casa,Condomínio Ayat Club Residence II,250.0,180.0,1,3,3,2,1500000.0
250,casa,Estância dos Ipês,300.0,180.0,2,3,3,2,1700000.0
251,venda,Damha Residencial Uberaba III,369.96,215.0,1,3,4,4,2300000.0
252,casa,Jardim Nenê Gomes,250.0,180.0,1,1,3,2,690000.0
253,terreno,Residencial Mário de Almeida Franco,544.49,0.0,0,0,0,0,410000.0
254,apartamento,Santa Maria,0.0,54.6,1,1,2,1,330000.0
255,apartamento,São Benedito,0.0,129.0,0,0,0,0,995000.0
256,casa,Jardim São Bento,0.0,198.78,2,2,4,2,680000.0
257,lote,Damha Residencial Uberaba III,390.7,0.0,0,0,0,0,400000.0
258,casa,Jardim Maria Alice,272.0,189.9,1,1,2,2,500000.0
259,casa,Residencial Estados Unidos,250.0,183.0,1,3,3,2,650000.0
260,casa,Estados Unidos,0.0,281.82,0,0,0,0,660000.0
261,casa,Cyrela Landscape,482.5,298.0,2,3,4,4,2400000.0
262,casa,Recreio dos Bandeirantes,126.5,74.63,1,0,3,1,260000.0
263,terreno,Condominio Terras Alpha,300.0,0.0,0,0,0,0,300000.0
264,casa,Conjunto Cássio Rezende,0.0,149.47,0,2,4,2,495000.0
265,casa,Jardim do Lago,0.0,193.0,1,1,3,3,1600000.0
266,apartamento,Estados Unidos,0.0,59.77,1,1,2,1,330000.0
267,lote,Condominio Terras Alpha,300.0,0.0,0,0,0,0,292500.0
268,apartamento,Vila Maria Helena,0.0,100.0,1,1,3,0,380000.0
